"department","year","commodity_type","total_spending","total_contracts"
"Canadian Space Agency",2022,"S","250379337.54","369"
"Canadian Space Agency",2022,"G","6249004.37","124"
"Canadian Space Agency",2022,"C","3470651.47","40"
"Canadian Space Agency",2023,"S","255458540.01","364"
"Canadian Space Agency",2023,"G","6159044.30","153"
"Canadian Space Agency",2023,"C","3972266.08","41"
"Canadian Space Agency",2024,"S","259279083.26","338"
"Canadian Space Agency",2024,"G","6712224.74","145"
"Canadian Space Agency",2024,"C","4382103.03","39"
"Canadian Space Agency",2025,"S","240627049.15","233"
"Canadian Space Agency",2025,"G","11206463.36","123"
"Canadian Space Agency",2025,"C","9111391.75","30"
"Canadian Space Agency",2026,"S","204011938.39","92"
"Canadian Space Agency",2026,"C","7061533.91","13"
"Canadian Space Agency",2026,"G","1747450.54","44"
"Canadian Transportation Agency",2017,"S","498541.62","34"
"Canadian Transportation Agency",2017,"G","95681.97","8"
"Canadian Transportation Agency",2018,"S","868804.91","52"
"Canadian Transportation Agency",2018,"G","847760.32","26"
"Canadian Transportation Agency",2019,"S","1316212.74","52"
"Canadian Transportation Agency",2019,"G","797615.51","24"
"Canadian Transportation Agency",2020,"S","1473067.77","62"
"Canadian Transportation Agency",2020,"G","632566.72","29"
"Canadian Transportation Agency",2021,"S","2154883.74","74"
"Canadian Transportation Agency",2021,"G","944160.03","34"
"Canadian Transportation Agency",2022,"S","2647768.97","74"
"Canadian Transportation Agency",2022,"G","658365.70","25"
"Canadian Transportation Agency",2023,"S","2582678.60","80"
"Canadian Transportation Agency",2023,"G","1181654.50","26"
"Canadian Transportation Agency",2024,"S","2459264.51","70"
"Canadian Transportation Agency",2024,"G","1129480.14","19"
"Canadian Transportation Agency",2025,"S","1441667.83","46"
"Canadian Transportation Agency",2025,"G","887136.55","21"
"Canadian Transportation Agency",2026,"S","718271.46","17"
"Canadian Transportation Agency",2026,"G","382150.37","15"
"Civilian Review and Complaints Commission for the RCMP",2017,"S","1376870.97","38"
"Civilian Review and Complaints Commission for the RCMP",2017,"G","124468.23","7"
"Civilian Review and Complaints Commission for the RCMP",2018,"S","1670425.84","46"
"Civilian Review and Complaints Commission for the RCMP",2018,"G","405102.97","9"
"Civilian Review and Complaints Commission for the RCMP",2019,"S","1305215.96","36"
"Civilian Review and Complaints Commission for the RCMP",2019,"G","279831.15","12"
"Civilian Review and Complaints Commission for the RCMP",2020,"S","1177907.09","26"
"Civilian Review and Complaints Commission for the RCMP",2020,"G","216307.46","9"
"Civilian Review and Complaints Commission for the RCMP",2021,"S","754090.77","26"
"Civilian Review and Complaints Commission for the RCMP",2021,"G","167488.81","4"
"Civilian Review and Complaints Commission for the RCMP",2022,"S","435535.69","23"
"Civilian Review and Complaints Commission for the RCMP",2022,"G","133220.81","8"
"Civilian Review and Complaints Commission for the RCMP",2023,"S","960390.48","37"
"Civilian Review and Complaints Commission for the RCMP",2023,"G","660321.07","22"
"Civilian Review and Complaints Commission for the RCMP",2024,"S","840262.63","28"
"Civilian Review and Complaints Commission for the RCMP",2024,"G","282124.16","16"
"Civilian Review and Complaints Commission for the RCMP",2025,"G","812309.24","16"
"Civilian Review and Complaints Commission for the RCMP",2025,"S","414136.35","26"
"Civilian Review and Complaints Commission for the RCMP",2026,"G","408501.50","9"
"Civilian Review and Complaints Commission for the RCMP",2026,"S","87018.50","10"
"Correctional Service of Canada",2017,"G","113086571.04","2199"
"Correctional Service of Canada",2017,NULL,"64257450.45","299"
"Correctional Service of Canada",2017,"S","52946992.30","1371"
"Correctional Service of Canada",2017,"C","14118861.47","198"
"Correctional Service of Canada",2018,"G","143228622.21","2969"
"Correctional Service of Canada",2018,"S","104240449.78","2116"
"Correctional Service of Canada",2018,"C","23430463.67","302"
"Correctional Service of Canada",2018,NULL,"19161714.78","82"
"Correctional Service of Canada",2019,"S","172133593.26","2240"
"Correctional Service of Canada",2019,"G","136844301.19","2809"
"Correctional Service of Canada",2019,"C","16656899.44","255"
"Correctional Service of Canada",2019,NULL,"5745211.50","52"
"Correctional Service of Canada",2020,"S","211765057.05","2076"
"Correctional Service of Canada",2020,"G","126868960.29","2672"
"Correctional Service of Canada",2020,"C","8412122.47","212"
"Correctional Service of Canada",2020,NULL,"1693268.83","31"
"Correctional Service of Canada",2021,"S","278578409.23","2296"
"Correctional Service of Canada",2021,"G","133174727.18","2841"
"Correctional Service of Canada",2021,NULL,"11830078.00","36"
"Correctional Service of Canada",2021,"C","8832020.20","254"
"Correctional Service of Canada",2022,"S","361288173.16","2450"
"Correctional Service of Canada",2022,"G","149340135.59","3515"
"Correctional Service of Canada",2022,"C","12061031.57","326"
"Correctional Service of Canada",2023,"S","359259377.34","2548"
"Correctional Service of Canada",2023,"G","166199651.92","3931"
"Correctional Service of Canada",2023,"C","19265506.09","533"
"Correctional Service of Canada",2024,"S","415435632.29","2388"
"Correctional Service of Canada",2024,"G","150074472.68","3535"
"Correctional Service of Canada",2024,"C","20994521.47","440"
"Correctional Service of Canada",2025,"S","384592519.37","2228"
"Correctional Service of Canada",2025,"G","164465462.58","3817"
"Correctional Service of Canada",2025,"C","9106967.56","295"
"Correctional Service of Canada",2026,"S","271958646.54","1074"
"Correctional Service of Canada",2026,"G","47821040.55","1084"
"Correctional Service of Canada",2026,"C","3868240.57","113"
"Courts Administration Service",2017,"S","4236455.87","93"
"Courts Administration Service",2017,"G","1639072.87","49"
"Courts Administration Service",2018,"S","10133717.62","166"
"Courts Administration Service",2018,"G","5115008.44","110"
"Courts Administration Service",2018,"C","502209.11","5"
"Courts Administration Service",2019,"S","12843097.46","225"
"Courts Administration Service",2019,"G","4825383.50","142"
"Courts Administration Service",2019,"C","41656.79","2"
"Courts Administration Service",2020,"S","14549323.59","232"
"Courts Administration Service",2020,"G","3583500.00","118"
"Courts Administration Service",2020,"C","69939.12","1"
"Courts Administration Service",2021,"S","13025610.44","246"
"Courts Administration Service",2021,"G","5156398.63","147"
"Courts Administration Service",2021,"C","31175.83","2"
"Courts Administration Service",2022,"S","17880056.26","294"
"Courts Administration Service",2022,"G","6507581.27","122"
"Courts Administration Service",2022,"C","82882.31","5"
"Courts Administration Service",2023,"S","24188724.39","339"
"Courts Administration Service",2023,"G","2362296.65","79"
"Courts Administration Service",2024,"S","20514020.57","308"
"Courts Administration Service",2024,"G","2977937.85","63"
"Courts Administration Service",2024,"C","88755.85","1"
"Courts Administration Service",2025,"S","15821858.92","246"
"Courts Administration Service",2025,"G","4347795.52","79"
"Courts Administration Service",2026,"S","7479021.51","125"
"Courts Administration Service",2026,"G","1159255.15","32"
"Crown-Indigenous Relations and Northern Affairs Canada",2017,"S","50549510.68","728"
"Crown-Indigenous Relations and Northern Affairs Canada",2017,"G","3827561.46","108"
"Crown-Indigenous Relations and Northern Affairs Canada",2017,"C","170537.12","8"
"Crown-Indigenous Relations and Northern Affairs Canada",2018,"S","49957317.72","769"
"Crown-Indigenous Relations and Northern Affairs Canada",2018,"G","8245835.70","165"
"Crown-Indigenous Relations and Northern Affairs Canada",2018,"C","68387.88","5"
"Crown-Indigenous Relations and Northern Affairs Canada",2019,"S","41239235.94","719"
"Crown-Indigenous Relations and Northern Affairs Canada",2019,"G","12359426.44","163"
"Crown-Indigenous Relations and Northern Affairs Canada",2019,"C","57110.37","4"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"S","38709160.82","635"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"G","3989496.32","72"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"C","8396.10","2"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"S","35650627.50","565"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"G","520672.96","24"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"C","9827.30","2"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"S","33594985.61","440"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"G","327228.09","19"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"C","6567.05","1"
"Crown-Indigenous Relations and Northern Affairs Canada",2023,"S","32920669.02","494"
"Crown-Indigenous Relations and Northern Affairs Canada",2023,"G","289682.62","14"
"Crown-Indigenous Relations and Northern Affairs Canada",2023,"C","18589.97","1"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"S","31408943.40","497"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"G","193418.40","8"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"C","60376.26","2"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"S","35954140.33","495"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"G","385058.47","9"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"C","64106.12","2"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"S","25364191.29","241"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"G","138316.51","5"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"C","49967.92","1"
"Department of Finance Canada",2017,"S","8413305.47","98"
"Department of Finance Canada",2017,"G","2795399.98","19"
"Department of Finance Canada",2018,"S","12421527.69","139"
"Department of Finance Canada",2018,"G","2565815.03","26"
"Department of Finance Canada",2019,"S","13788295.61","145"
"Department of Finance Canada",2019,"G","1307736.90","21"
"Department of Finance Canada",2020,"S","25389924.47","150"
"Department of Finance Canada",2020,"G","430107.45","22"
"Department of Finance Canada",2021,"S","56943699.23","150"
"Department of Finance Canada",2021,"G","1710129.12","17"
"Department of Finance Canada",2022,"S","21507709.28","162"
"Department of Finance Canada",2022,"G","975582.33","28"
"Department of Finance Canada",2023,"S","14334316.16","167"
"Department of Finance Canada",2023,"G","1995496.66","37"
"Department of Finance Canada",2024,"S","12886464.41","147"
"Department of Finance Canada",2024,"G","1274141.12","24"
"Department of Finance Canada",2025,"S","12296102.29","142"
"Department of Finance Canada",2025,"G","931217.06","19"
"Department of Finance Canada",2026,"S","6925848.47","57"
"Department of Finance Canada",2026,"G","108731.34","2"
"Department of Housing, Infrastructure and Communities",2017,"S","7183800.84","84"
"Department of Housing, Infrastructure and Communities",2017,"G","1889073.89","26"
"Department of Housing, Infrastructure and Communities",2018,"S","4828553312.45","140"
"Department of Housing, Infrastructure and Communities",2018,"G","2082668.53","37"
"Department of Housing, Infrastructure and Communities",2019,"S","16047303.82","135"
"Department of Housing, Infrastructure and Communities",2019,"G","3586227.49","36"
"Department of Housing, Infrastructure and Communities",2020,"S","9007788.50","122"
"Department of Housing, Infrastructure and Communities",2020,"G","1905816.91","29"
"Department of Housing, Infrastructure and Communities",2021,"S","12111925.17","130"
"Department of Housing, Infrastructure and Communities",2021,"G","4025978.59","50"
"Department of Housing, Infrastructure and Communities",2022,"S","14360047.05","150"
"Department of Housing, Infrastructure and Communities",2022,"G","5174843.42","49"
"Department of Housing, Infrastructure and Communities",2023,"S","20358567.96","145"
"Department of Housing, Infrastructure and Communities",2023,"G","2827515.50","41"
"Department of Housing, Infrastructure and Communities",2024,"S","20437707.48","128"
"Department of Housing, Infrastructure and Communities",2024,"G","3945238.75","40"
"Department of Housing, Infrastructure and Communities",2025,"S","25704095.99","131"
"Department of Housing, Infrastructure and Communities",2025,"G","5399855.48","49"
"Department of Housing, Infrastructure and Communities",2026,"S","14301171.95","61"
"Department of Housing, Infrastructure and Communities",2026,"G","1254456.73","16"
"Department of Justice Canada",2017,"S","28318447.73","325"
"Department of Justice Canada",2017,"G","5045024.56","79"
"Department of Justice Canada",2018,"S","22542068.51","520"
"Department of Justice Canada",2018,"G","5244561.22","112"
"Department of Justice Canada",2019,"S","22280254.68","502"
"Department of Justice Canada",2019,"G","10849421.28","157"
"Department of Justice Canada",2020,"S","22053965.05","467"
"Department of Justice Canada",2020,"G","6413957.29","145"
"Department of Justice Canada",2021,"S","24897923.12","460"
"Department of Justice Canada",2021,"G","6763931.44","131"
"Department of Justice Canada",2022,"S","24744635.67","477"
"Department of Justice Canada",2022,"G","8039080.77","154"
"Department of Justice Canada",2023,"S","27782140.24","503"
"Department of Justice Canada",2023,"G","11046089.39","201"
"Department of Justice Canada",2024,"S","31822561.57","519"
"Department of Justice Canada",2024,"G","13991716.80","179"
"Department of Justice Canada",2025,"S","29758415.34","472"
"Department of Justice Canada",2025,"G","7651854.42","139"
"Department of Justice Canada",2026,"S","12484038.29","188"
"Department of Justice Canada",2026,"G","4833380.62","54"
"Elections Canada",2017,"S","54084401.59","202"
"Elections Canada",2017,"G","2322258.11","37"
"Elections Canada",2018,"S","80435153.90","352"
"Elections Canada",2018,"G","4937647.42","90"
"Elections Canada",2019,"S","137472966.66","449"
"Elections Canada",2019,"G","7011759.30","102"
"Elections Canada",2020,"S","131875730.41","414"
"Elections Canada",2020,"G","9222108.75","87"
"Elections Canada",2020,"C","19269.81","1"
"Elections Canada",2021,"S","117262895.77","460"
"Elections Canada",2021,"G","9674813.72","87"
"Elections Canada",2022,"S","103430000.72","389"
"Elections Canada",2022,"G","7820359.44","87"
"Elections Canada",2023,"S","116936219.42","376"
"Elections Canada",2023,"G","7089612.98","88"
"Elections Canada",2024,"S","124229087.06","358"
"Elections Canada",2024,"G","6470527.19","52"
"Elections Canada",2025,"S","119231392.93","273"
"Elections Canada",2025,"G","5284833.46","41"
"Elections Canada",2026,"S","104706995.26","105"
"Elections Canada",2026,"G","2860231.25","18"
"Employment and Social Development Canada",2017,"S","61508883.15","800"
"Employment and Social Development Canada",2017,"G","19742143.09","98"
"Employment and Social Development Canada",2017,NULL,"940901.72","16"
"Employment and Social Development Canada",2017,"C","84270.02","6"
"Employment and Social Development Canada",2018,"S","115936300.96","1166"
"Employment and Social Development Canada",2018,"G","36186298.15","178"
"Employment and Social Development Canada",2018,NULL,"240685.82","3"
"Employment and Social Development Canada",2018,"C","43603.39","2"
"Employment and Social Development Canada",2019,"S","143978904.11","1319"
"Employment and Social Development Canada",2019,"G","23198458.08","179"
"Employment and Social Development Canada",2020,"S","267723006.53","1717"
"Employment and Social Development Canada",2020,"G","57766340.17","293"
"Employment and Social Development Canada",2021,"S","412181652.55","1896"
"Employment and Social Development Canada",2021,"G","82937220.12","354"
"Employment and Social Development Canada",2022,"S","472841011.76","1684"
"Employment and Social Development Canada",2022,"G","67423812.83","301"
"Employment and Social Development Canada",2023,"S","407130978.17","1467"
"Employment and Social Development Canada",2023,"G","56898150.71","277"
"Employment and Social Development Canada",2024,"S","438580789.46","1462"
"Employment and Social Development Canada",2024,"G","62772673.52","269"
"Employment and Social Development Canada",2025,"S","630393756.45","1414"
"Employment and Social Development Canada",2025,"G","43859659.09","236"
"Employment and Social Development Canada",2026,"S","225542963.64","535"
"Employment and Social Development Canada",2026,"G","28228982.23","76"
"Environment and Climate Change Canada",2017,"S","74655782.25","1514"
"Environment and Climate Change Canada",2017,"G","46095252.30","597"
"Environment and Climate Change Canada",2017,"C","6071259.58","148"
"Environment and Climate Change Canada",2018,"S","72130087.97","2119"
"Environment and Climate Change Canada",2018,"G","32335563.72","750"
"Environment and Climate Change Canada",2018,"C","9684692.67","228"
"Environment and Climate Change Canada",2019,"S","83235991.92","2282"
"Environment and Climate Change Canada",2019,"G","39876163.38","748"
"Environment and Climate Change Canada",2019,"C","10051832.85","277"
"Environment and Climate Change Canada",2020,"S","95015080.41","2342"
"Environment and Climate Change Canada",2020,"G","37306565.92","764"
"Environment and Climate Change Canada",2020,"C","11675599.29","297"
"Environment and Climate Change Canada",2021,"S","114596761.43","2574"
"Environment and Climate Change Canada",2021,"G","41865799.09","858"
"Environment and Climate Change Canada",2021,"C","12768678.13","338"
"Environment and Climate Change Canada",2022,"S","130291140.80","2759"
"Environment and Climate Change Canada",2022,"G","51272917.95","1050"
"Environment and Climate Change Canada",2022,"C","15422932.17","396"
"Environment and Climate Change Canada",2023,"S","152113160.28","2881"
"Environment and Climate Change Canada",2023,"G","52960981.23","1038"
"Environment and Climate Change Canada",2023,"C","17811155.16","441"
"Environment and Climate Change Canada",2024,"S","156026523.23","2762"
"Environment and Climate Change Canada",2024,"G","55836976.86","1021"
"Environment and Climate Change Canada",2024,"C","23272546.43","393"
"Environment and Climate Change Canada",2025,"S","130733432.70","2276"
"Environment and Climate Change Canada",2025,"G","50610100.13","902"
"Environment and Climate Change Canada",2025,"C","15621501.01","291"
"Environment and Climate Change Canada",2026,"S","84563867.25","1058"
"Environment and Climate Change Canada",2026,"G","23871114.71","330"
"Environment and Climate Change Canada",2026,"C","4708813.00","118"
"Farm Products Council of Canada",2017,"S","74528.38","3"
"Farm Products Council of Canada",2018,"S","44889.50","6"
"Farm Products Council of Canada",2019,"S","84743.00","5"
"Farm Products Council of Canada",2020,"S","373100.93","15"
"Farm Products Council of Canada",2020,"G","25611.69","2"
"Farm Products Council of Canada",2021,"S","323060.55","13"
"Farm Products Council of Canada",2021,"C","95008.14","1"
"Farm Products Council of Canada",2021,"G","11645.91","1"
"Farm Products Council of Canada",2022,"S","132960.63","3"
"Farm Products Council of Canada",2022,"C","95008.14","0"
"Farm Products Council of Canada",2022,"G","39391.14","1"
"Farm Products Council of Canada",2023,"S","31802.81","3"
"Farm Products Council of Canada",2023,"G","5006.02","1"
"Farm Products Council of Canada",2024,"G","29748.04","2"
"Farm Products Council of Canada",2024,"S","27297.37","3"
"Farm Products Council of Canada",2025,"S","20335.29","2"
"Federal Economic Development Agency for Northern Ontario",2021,"G","30856.07","1"
"Federal Economic Development Agency for Northern Ontario",2021,"S","17373.75","2"
"Federal Economic Development Agency for Northern Ontario",2022,"S","121437.31","10"
"Federal Economic Development Agency for Northern Ontario",2022,"G","30856.07","1"
"Federal Economic Development Agency for Northern Ontario",2023,"S","223979.54","16"
"Federal Economic Development Agency for Northern Ontario",2023,"G","12084.06","1"
"Federal Economic Development Agency for Northern Ontario",2024,"G","331168.35","5"
"Federal Economic Development Agency for Northern Ontario",2024,"S","213879.72","11"
"Federal Economic Development Agency for Northern Ontario",2025,"S","341677.57","13"
"Federal Economic Development Agency for Northern Ontario",2025,"G","83241.45","3"
"Federal Economic Development Agency for Northern Ontario",2026,"S","278655.89","8"
"Federal Economic Development Agency for Southern Ontario",2017,"S","2827943.94","24"
"Federal Economic Development Agency for Southern Ontario",2017,"G","342927.44","9"
"Federal Economic Development Agency for Southern Ontario",2018,"S","5580341.49","40"
"Federal Economic Development Agency for Southern Ontario",2018,"G","133308.25","6"
"Federal Economic Development Agency for Southern Ontario",2019,"S","4625858.65","58"
"Federal Economic Development Agency for Southern Ontario",2019,"G","362030.44","14"
"Federal Economic Development Agency for Southern Ontario",2020,"S","1789312.43","49"
"Federal Economic Development Agency for Southern Ontario",2020,"G","173173.51","7"
"Federal Economic Development Agency for Southern Ontario",2021,"S","2437996.33","44"
"Federal Economic Development Agency for Southern Ontario",2021,"G","140366.70","9"
"Federal Economic Development Agency for Southern Ontario",2022,"S","4095905.61","54"
"Federal Economic Development Agency for Southern Ontario",2022,"G","511025.62","13"
"Federal Economic Development Agency for Southern Ontario",2023,"S","3610337.28","55"
"Federal Economic Development Agency for Southern Ontario",2023,"G","164055.39","7"
"Federal Economic Development Agency for Southern Ontario",2024,"S","1710200.05","39"
"Federal Economic Development Agency for Southern Ontario",2024,"G","321324.55","9"
"Federal Economic Development Agency for Southern Ontario",2025,"S","1340724.38","32"
"Federal Economic Development Agency for Southern Ontario",2025,"G","243131.52","12"
"Federal Economic Development Agency for Southern Ontario",2026,"S","243438.24","12"
"Federal Economic Development Agency for Southern Ontario",2026,"G","178842.98","8"
"Financial Consumer Agency of Canada",2017,"S","2363579.46","62"
"Financial Consumer Agency of Canada",2017,"G","140874.64","11"
"Financial Consumer Agency of Canada",2017,"C","11115.30","1"
"Financial Consumer Agency of Canada",2018,"S","3534991.13","106"
"Financial Consumer Agency of Canada",2018,"G","585147.07","15"
"Financial Consumer Agency of Canada",2018,"C","5520.19","1"
"Financial Consumer Agency of Canada",2019,"S","7427511.78","96"
"Financial Consumer Agency of Canada",2019,"G","1583030.60","41"
"Financial Consumer Agency of Canada",2019,"C","5520.19","1"
"Financial Consumer Agency of Canada",2020,"S","7056666.22","74"
"Financial Consumer Agency of Canada",2020,"G","995087.52","34"
"Financial Consumer Agency of Canada",2021,"S","8385382.65","76"
"Financial Consumer Agency of Canada",2021,"G","1160346.22","28"
"Financial Consumer Agency of Canada",2022,"S","10211435.49","84"
"Financial Consumer Agency of Canada",2022,"G","1200887.81","29"
"Financial Consumer Agency of Canada",2023,"S","11246567.27","86"
"Financial Consumer Agency of Canada",2023,"G","1710566.46","36"
"Financial Consumer Agency of Canada",2024,"S","15544483.68","78"
"Financial Consumer Agency of Canada",2024,"G","1423354.70","41"
"Financial Consumer Agency of Canada",2025,"S","18425110.85","81"
"Financial Consumer Agency of Canada",2025,"G","877740.33","25"
"Financial Consumer Agency of Canada",2026,"S","6227735.29","42"
"Financial Consumer Agency of Canada",2026,"G","308800.52","7"
"Financial Transactions and Reports Analysis Centre of Canada",2017,"S","691423.04","21"
"Financial Transactions and Reports Analysis Centre of Canada",2017,"G","346172.47","10"
"Financial Transactions and Reports Analysis Centre of Canada",2018,"S","1570155.12","40"
"Financial Transactions and Reports Analysis Centre of Canada",2018,"G","1202863.97","24"
"Financial Transactions and Reports Analysis Centre of Canada",2019,"S","3452498.18","79"
"Financial Transactions and Reports Analysis Centre of Canada",2019,"G","1248855.64","30"
"Financial Transactions and Reports Analysis Centre of Canada",2020,"S","4356811.07","88"
"Financial Transactions and Reports Analysis Centre of Canada",2020,"G","1632253.17","42"
"Financial Transactions and Reports Analysis Centre of Canada",2021,"S","7966673.55","136"
"Financial Transactions and Reports Analysis Centre of Canada",2021,"G","1648284.08","51"
"Financial Transactions and Reports Analysis Centre of Canada",2022,"S","9080249.61","159"
"Financial Transactions and Reports Analysis Centre of Canada",2022,"G","1418086.92","50"
"Financial Transactions and Reports Analysis Centre of Canada",2023,"S","9975439.15","144"
"Financial Transactions and Reports Analysis Centre of Canada",2023,"G","1710464.65","49"
"Financial Transactions and Reports Analysis Centre of Canada",2024,"S","10174295.22","114"
"Financial Transactions and Reports Analysis Centre of Canada",2024,"G","5030560.59","60"
"Financial Transactions and Reports Analysis Centre of Canada",2025,"S","10664088.24","77"
"Financial Transactions and Reports Analysis Centre of Canada",2025,"G","3500981.70","33"
"Financial Transactions and Reports Analysis Centre of Canada",2026,"S","6917632.96","33"
"Financial Transactions and Reports Analysis Centre of Canada",2026,"G","2547291.21","9"
"Fisheries and Oceans Canada",2017,"G","198455986.44","2434"
"Fisheries and Oceans Canada",2017,"S","182302946.02","2572"
"Fisheries and Oceans Canada",2017,"C","95305342.01","1061"
"Fisheries and Oceans Canada",2018,"G","510510751.93","3014"
"Fisheries and Oceans Canada",2018,"S","280264330.63","3481"
"Fisheries and Oceans Canada",2018,"C","106449800.19","1247"
"Fisheries and Oceans Canada",2019,"S","571375425.37","3273"
"Fisheries and Oceans Canada",2019,"G","522132568.07","2786"
"Fisheries and Oceans Canada",2019,"C","161637483.20","1376"
"Fisheries and Oceans Canada",2020,"S","670176319.11","3466"
"Fisheries and Oceans Canada",2020,"G","560345775.57","3251"
"Fisheries and Oceans Canada",2020,"C","129482946.02","1167"
"Fisheries and Oceans Canada",2021,"S","582058385.46","3865"
"Fisheries and Oceans Canada",2021,"G","464296220.48","2802"
"Fisheries and Oceans Canada",2021,"C","108931661.42","802"
"Fisheries and Oceans Canada",2022,"S","1051594716.87","5286"
"Fisheries and Oceans Canada",2022,"C","503583566.53","787"
"Fisheries and Oceans Canada",2022,"G","445741616.64","3237"
"Fisheries and Oceans Canada",2023,"S","1014842501.50","5672"
"Fisheries and Oceans Canada",2023,"G","424408245.26","3415"
"Fisheries and Oceans Canada",2023,"C","237833832.70","842"
"Fisheries and Oceans Canada",2024,"S","954312430.27","5935"
"Fisheries and Oceans Canada",2024,"G","655189740.89","3693"
"Fisheries and Oceans Canada",2024,"C","271324391.92","930"
"Fisheries and Oceans Canada",2025,"C","7407814770.56","1069"
"Fisheries and Oceans Canada",2025,"S","884202505.25","5848"
"Fisheries and Oceans Canada",2025,"G","647949396.39","3611"
"Fisheries and Oceans Canada",2026,"S","492028594.89","2007"
"Fisheries and Oceans Canada",2026,"G","327291895.60","903"
"Fisheries and Oceans Canada",2026,"C","197516207.03","441"
"Global Affairs Canada",2017,"S","92997652.65","1963"
"Global Affairs Canada",2017,"G","40911515.84","948"
"Global Affairs Canada",2017,"C","11978041.44","270"
"Global Affairs Canada",2018,"S","187532238.87","3139"
"Global Affairs Canada",2018,"G","70490360.86","1387"
"Global Affairs Canada",2018,"C","18651971.43","406"
"Global Affairs Canada",2019,"S","195199644.95","3366"
"Global Affairs Canada",2019,"G","64582201.77","1357"
"Global Affairs Canada",2019,"C","21956009.97","410"
"Global Affairs Canada",2020,"S","251066002.95","3148"
"Global Affairs Canada",2020,"G","48004480.64","1240"
"Global Affairs Canada",2020,"C","21349982.88","378"
"Global Affairs Canada",2021,"S","250769867.47","3323"
"Global Affairs Canada",2021,"G","54947328.01","1231"
"Global Affairs Canada",2021,"C","21722396.44","440"
"Global Affairs Canada",2022,"S","261406616.36","3605"
"Global Affairs Canada",2022,"G","44248055.94","1135"
"Global Affairs Canada",2022,"C","25343582.60","417"
"Global Affairs Canada",2023,"S","277876652.87","3454"
"Global Affairs Canada",2023,"G","49417719.27","1097"
"Global Affairs Canada",2023,"C","39271664.23","436"
"Global Affairs Canada",2024,"S","322524616.92","3383"
"Global Affairs Canada",2024,"C","58502423.04","455"
"Global Affairs Canada",2024,"G","51397842.12","1071"
"Global Affairs Canada",2025,"S","316761531.43","3488"
"Global Affairs Canada",2025,"C","80835191.03","549"
"Global Affairs Canada",2025,"G","53615208.05","1256"
"Global Affairs Canada",2026,"S","132577579.86","1173"
"Global Affairs Canada",2026,"C","65614019.95","130"
"Global Affairs Canada",2026,"G","15092569.11","399"
"Health Canada",2017,"S","55586308.08","1120"
"Health Canada",2017,"G","20708822.67","410"
"Health Canada",2017,"C","1530047.99","33"
"Health Canada",2018,"S","87698068.43","1607"
"Health Canada",2018,"G","34997497.61","608"
"Health Canada",2018,"C","1546287.84","53"
"Health Canada",2019,"S","94423158.37","1641"
"Health Canada",2019,"G","23745708.04","600"
"Health Canada",2019,"C","2827542.97","65"
"Health Canada",2020,"S","189624584.09","1502"
"Health Canada",2020,"G","36962794.35","605"
"Health Canada",2020,"C","2829760.02","61"
"Health Canada",2021,"S","224645915.34","1562"
"Health Canada",2021,"G","58358979.89","659"
"Health Canada",2021,"C","3727877.71","49"
"Health Canada",2022,"S","241471118.20","1685"
"Health Canada",2022,"G","65437250.82","702"
"Health Canada",2022,"C","1001449.07","43"
"Health Canada",2023,"S","329104143.31","1621"
"Health Canada",2023,"G","48046032.38","664"
"Health Canada",2023,"C","1712953.65","36"
"Health Canada",2024,"S","301562564.98","1276"
"Health Canada",2024,"G","48248777.78","573"
"Health Canada",2024,"C","1778303.29","45"
"Health Canada",2025,"S","214449077.39","997"
"Health Canada",2025,"G","51929363.20","524"
"Health Canada",2025,"C","1436336.39","48"
"Health Canada",2026,"S","150790041.48","452"
"Health Canada",2026,"G","18895182.52","225"
"Health Canada",2026,"C","545920.77","17"
"Immigration and Refugee Board of Canada",2017,"S","5000.00","1"
"Immigration and Refugee Board of Canada",2018,"S","1511427.94","93"
"Immigration and Refugee Board of Canada",2019,"S","8102956.91","396"
"Immigration and Refugee Board of Canada",2019,"G","3762463.39","67"
"Immigration and Refugee Board of Canada",2020,"S","16890802.28","549"
"Immigration and Refugee Board of Canada",2020,"G","4791822.69","125"
"Immigration and Refugee Board of Canada",2020,"C","14711.69","2"
"Immigration and Refugee Board of Canada",2021,"S","21113635.23","651"
"Immigration and Refugee Board of Canada",2021,"G","3283064.16","82"
"Immigration and Refugee Board of Canada",2021,"C","2825.00","0"
